Soil,raw,W
PL1,,0.38
PL2,,0.37
CT1,,0.45
CT2,,0.50
PL1,2120,0.38
PL2,2292,0.37
CT1,2029,0.45
CT2,1908,0.50
PL1,2034,0.37
PL2,2293,0.36
CT1,1997,0.44
CT2,1817,0.49
PL1,1832,0.36
PL2,2104,0.35
CT1,1899,0.42
CT2,1715,0.47
PL1,1805,0.34
PL2,1935,0.33
CT1,1830,0.40
CT2,1624,0.45
PL1,1758,0.31
PL2,1806,0.30
CT1,1766,0.38
CT2,1513,0.42
PL1,1700,0.30
PL2,1649,0.29
CT1,1704,0.36
CT2,1399,0.40
PL1,1609,0.26
PL2,1560,0.25
CT1,1646,0.32
CT2,1317,0.36
PL1,1558,0.24
PL2,1497,0.23
CT1,1580,0.30
CT2,1230,0.33
PL1,1168,0.00
PL2,1035,0.00
CT1,1029,0.00
CT2,721,0.00
,,
